question_no	pdf_page	source_label	preview
1	4	(1.1.1.1.1)2004 数三	一、函数极限连续 1.1.1.函数性质 a.a.a.a) 有界 (1.1.1.1.1)2004 数三 (7) 函数 f x = xsinx-2 
2	5	(1.1.1.2.1)2002 数二; 基础严选第五章选择 9;660 数二 325	a.a.a.b) 奇偶 (1.1.1.2.1)2002 数二; 基础严选第五章选择 9;660 数二 325 (2) 设函数 f x 连续，则下列函数中，必为偶函数的是 ( ). A. x0 f  t2
3	6	(1.1.1.2.2)2020 数三	(1.1.1.2.2)2020 数三 【例 3.34】 (2020, 数三) 设奇函数 f x 在 -∞,+∞ 上有一阶连续导数, 则【 】 A. x0 cosf t + f   t   dt 为奇函数 B. x0 cosf t + f   t 
4	7	(1.1.1.2.3)2024 数一	(1.1.1.2.3)2024 数一 1.设 f x = x0 e cost  dt,gx = sinx 0 e t2
5	8	(1.1.1.3.1)2008 数一	a.a.a.c) 周期 (1.1.1.3.1)2008 数一 设函数 f x 是连续函数 (I) 利用定义证明函数 Fx = x0 f  t dt 可导, 且 F
6	9	(1.1.1.4.1)1987 数二;880 第一章基础选择 1	a.a.a.d) 综合 (1.1.1.4.1)1987 数二;880 第一章基础选择 1 【1】函数 f x = xsinxe cosx ,x ∈ -∞,+∞ , 是 ( ). A. 单调函数 B. 周期函数 C. 偶函数 D. 有界函数 大观严选题 —— 澄潇宇
7	10	i.i.ii.i.i.i.)1992 数一	1.1.2.极限 a.a.b.a) 函数极限计算 (1.1.2.1.1 0/0 i.i.ii.i.i.i.)1992 数一 求 limx→0 e x-sinx-1 1- 1-x
8	11	i.i.ii.i.i.ii)1999 数二	i.i.ii.i.i.ii)1999 数二 求 limx→0 1+tanx- 1+sinx xln1+x -x 2 . 大观严选题 —— 澄潇宇 第 8 页，共 767 页
9	12	i. i. ii. i. i. iii)2002 数二	i. i. ii. i. i. iii)2002 数二 (3) 设 y = yx 是二阶常系数微分方程 y + py + qy = e 3x满足初始条件 y0 = y  0 = 0 的特解，则 当 x → 0 时, 函数 ln 1+x 2
10	13	i. i. ii. i. i. iv)2008 数一二;26 版 660 数一二三第 129 题	i. i. ii. i. i. iv)2008 数一二;26 版 660 数一二三第 129 题 求极限 limx→0 sinx-sinsinx sinx x 4 . 大观严选题 —— 澄潇宇 第 10 页，共 767 页
11	14	i.i.ii.i.i.v)2008 数三	i.i.ii.i.i.v)2008 数三 求极限 limx→0 1 x 2 ln sinx x
12	15	i. i. ii. i. i. vi)2011 数三	i. i. ii. i. i. vi)2011 数三 求极限 limx→0 1+2sinx-x-1 xln1+x  . 大观严选题 —— 澄潇宇 第 12 页，共 767 页
13	16	i. i. ii. i. i. vii)2009 数三	i. i. ii. i. i. vii)2009 数三 limx→0 e-e cosx 3 1+x 2-1 = _____. 大观严选题 —— 澄潇宇
14	17	i. i. ii. i. i. viii)2012 数三	i. i. ii. i. i. viii)2012 数三 求极限 limx→0 e x 2-e 2-2cosx x 4
15	18	i. i. ii. i. i. ix)2014 数二	i. i. ii. i. i. ix)2014 数二 (5) 设函数 f x = arctanx.若 f x = xf  ξ ，则 limx→0 ξ 2 x 2 = ( ) A. 1. B. 2
16	19	i.i.ii.i.i.x)2015 数一三	i.i.ii.i.i.x)2015 数一三 limx→0 lncosx  x 2 = _____. 大观严选题 —— 澄潇宇 第 16 页，共 767 页
17	20	i.i.ii.i.i.11)2025 数一	i.i.ii.i.i.11)2025 数一 lim x→0+ x x-1 lnx⋅ln1-x  = _____. 大观严选题 —— 澄潇宇 第 17 页，共 767 页
18	21	i.i.ii.i.ii.i)1991 数二	1.1.2.1.2 ∞/ i.i.ii.i.ii.i)1991 数二 lim x→0+ 1-e 1 x x+e
19	22	i. i. ii. i. ii. ii. ii)1997 数二	i. i. ii. i. ii. ii. ii)1997 数二 求极限 limx→-∞ 4x 2+x-1+x+1 x 2+sinx
20	23	i. i. ii. i. ii. iii. iii)2007 数三	i. i. ii. i. ii. iii. iii)2007 数三 limx→+∞ x 3+x 2+1 2
21	24	i. i. ii. i.ii.i)1996 数二	(1.1.2.1.3)0∞∞ i. i. ii. i.ii.i)1996 数二 limx→∞ x sin ln 1+ 3 x
22	25	i.i.ii.i.iii.ii)2018 数二	i.i.ii.i.iii.ii)2018 数二 limx→+∞ x 2 arctanx+1 -arctanx = _____ 大观严选题 —— 澄潇宇
23	26	i. i. ii. i.iii.iii)2023 数三	i. i. ii. i.iii.iii)2023 数三 11. limx→∞ x 2 2-xsin 1 x -cos 1
24	27	i.i.ii.i.iii.iv)2026 数三	i.i.ii.i.iii.iv)2026 数三 limx→0 1 x 1+x 2 sinx -
25	28	i. i. ii. i. iv. i)1990 数三	1.1.2.1.4 ∞- i. i. ii. i. iv. i)1990 数三 极限 limn→∞  n+3 n - n- n = _____. 大观严选题 —— 澄潇宇 第 25 页，共 767 页
26	29	i. i. ii. i. i.v. ii)2020 数一	i. i. ii. i. i.v. ii)2020 数一 limx→0 1 e x-1 - 1 ln1+x 
27	30	i. i. ii.i.v.i)1988 数二	(1.1.2.1.5)0 的 0 次或 ∞的 0 次 i. i. ii.i.v.i)1988 数二 lim x→0+ 1 x  
28	31	i. i. ii. i. v. ii)2010 数三	i. i. ii. i. v. ii)2010 数三 求极限 limx→+∞ x 1  x -1  1
29	32	i.i.ii.i.vi.i)1991 数三	(1.1.2.1.6)1 的 ∞ i.i.ii.i.vi.i)1991 数三 求极限 limx→0 e x+e 2x+⋯+e nx  n 
30	33	i. i. ii. i. vi. ii)2002 数三;880 第一章综合填空 6	i. i. ii. i. vi. ii)2002 数三;880 第一章综合填空 6 设常数 a ≠ 1 2 , 则 limn→∞ ln n-2na+1
31	34	i. i. ii. i. vi.iii)2010 数一	i. i. ii. i. vi.iii)2010 数一 (1) 极限 limx→∞ x 2 x-a x+b  
32	35	i. i. ii. i. vi.iv)2011 数一	i. i. ii. i. vi.iv)2011 数一 求极限 limx→0 ln1+x  x  
33	36	i. i. ii.i.i.v.)2012 数三	i. i. ii.i.i.v.)2012 数三 lim x→ π 4 tanx  1
34	37	i. i. ii. i. vi. vi)2016 数二三	i. i. ii. i. vi. vi)2016 数二三 求极限 limx→0 cos2x+2xsinx  1 x 4 . 大观严选题 —— 澄潇宇
